band,type,link
L-equipe-a-Jojo,Soundcloud,1356816280
L-equipe-a-Jojo,Soundcloud,1356815965
L-equipe-a-Jojo,Youtube,XuKKOuEUZ2A
Les-Zazous,Soundcloud,1216276000
Les-Zazous,Facebook,leszazous.acappella
Les-Zazous,Youtube,5LeYF7SBtas
Club-80,Youtube,iuWopOG4LYA
Un-concert-pour-Doudou,Youtube,9M7uzRVIT3k
Loys-Brossy,Soundcloud,508337655
Loys-Brossy,Soundcloud,733107478
Side-Up,Soundcloud,380518064
Side-Up,Soundcloud,356097710
Side-Up,Soundcloud,356097029
Let-s-Goldman,Soundcloud,273361297
Two-Wings,Soundcloud,468104898
Two-Wings,Soundcloud,468103806
Two-Wings,Soundcloud,468101913
Flavie-et-son-orgue-de-Barbarie,Soundcloud,228369457
Flavie-et-son-orgue-de-Barbarie,Soundcloud,228369759
Flavie-et-son-orgue-de-Barbarie,Soundcloud,228370498
La-machine-a-guincher,Soundcloud,63864417
La-machine-a-guincher,Soundcloud,63864416
La-machine-a-guincher,Soundcloud,63864415
